"date","count","package","version"
2020-08-07,19,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-08,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-09,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-10,15,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-11,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-12,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-13,12,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-14,10,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-15,5,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-16,4,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-17,15,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-18,11,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-19,12,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-20,6,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-21,11,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-22,6,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-23,4,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-24,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-25,16,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-26,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-27,6,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-28,4,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-29,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-30,12,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-08-31,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-01,10,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-02,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-03,13,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-04,6,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-05,10,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-06,16,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-07,23,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-08,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-09,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-10,13,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-11,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-12,17,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-13,12,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-14,25,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-15,12,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-16,9,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-17,28,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-18,21,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-19,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-20,8,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-21,11,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-22,14,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-23,16,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-24,10,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-25,5,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-26,5,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-27,6,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-28,12,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-29,11,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-09-30,11,"rjdmarkdown","rjdmarkdown_0.1.0"
2020-10-01,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-02,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-03,13,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-04,33,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-05,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-06,28,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-07,29,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-08,27,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-09,21,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-10,23,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-11,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-12,17,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-13,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-14,27,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-15,14,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-16,25,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-17,4,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-18,12,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-19,28,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-20,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-21,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-22,22,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-23,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-24,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-25,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-26,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-27,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-28,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-29,29,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-30,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-10-31,10,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-01,14,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-02,7,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-03,27,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-04,9,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-05,24,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-06,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-07,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-08,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-09,22,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-10,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-11,27,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-12,23,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-13,17,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-14,12,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-15,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-16,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-17,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-18,22,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-19,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-20,14,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-21,13,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-22,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-23,10,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-24,19,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-25,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-26,9,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-27,16,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-28,17,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-29,14,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-11-30,20,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-12-01,18,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-12-02,21,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-12-03,17,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-12-04,17,"rjdmarkdown","rjdmarkdown_0.2.0"
2020-12-05,16,"rjdmarkdown","rjdmarkdown_0.2.0"
