"Name","Date release","Total downloads","Cumulative downloads"
"rjdmarkdown_0.1.0",2020-05-08,1649,1649
"rjdmarkdown_0.2.0",2020-10-01,8692,10341
"rjdmarkdown_0.2.1",2023-04-25,1222,11563
"rjdmarkdown_0.2.2",2023-10-04,4067,15630
