"Name","Date release","Total downloads","Cumulative downloads"
"ggdemetra_0.1.0",2019-04-24,713,713
"ggdemetra_0.2.0",2019-06-19,1304,2017
"ggdemetra_0.2.1",2019-09-12,8215,10232
"ggdemetra_0.2.2",2020-12-02,10020,20252
